"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
01,"Atlantic",1690,"Galloway Twp",51,"Sent Oth Dist Reg",5.0,5.0,0.0
01,"Atlantic",1690,"Galloway Twp",52,"Sent Oth Dist SpEd",11.0,12.0,11.0
01,"Atlantic",1690,"Galloway Twp",60,"Received Oth Dist",88.0,33.0,14.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",11,"Onroll (Full)",2555.0,2469.0,2443.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",21,"Onroll (SpEd Full)",578.0,598.0,580.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",40,"Sent Private School",15.5,24.0,30.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",51,"Sent Oth Dist Reg",4.0,3.0,3.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",52,"Sent Oth Dist SpEd",49.0,42.0,41.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",60,"Received Oth Dist",83.0,76.0,54.0
01,"Atlantic",1790,"Greater Egg Harbor Reg",70,"State Facilities",11.0,11.0,11.0
01,"Atlantic",1940,"Hamilton Twp",11,"Onroll (Full)",2481.0,2503.0,2528.0
01,"Atlantic",1940,"Hamilton Twp",21,"Onroll (SpEd Full)",432.0,468.0,515.0
01,"Atlantic",1940,"Hamilton Twp",40,"Sent Private School",12.0,13.0,0.0
01,"Atlantic",1940,"Hamilton Twp",50,"Sent Contract Presch",68.0,45.0,45.0
01,"Atlantic",1940,"Hamilton Twp",51,"Sent Oth Dist Reg",13.0,9.0,0.0
01,"Atlantic",1940,"Hamilton Twp",52,"Sent Oth Dist SpEd",23.0,24.0,19.0
01,"Atlantic",1940,"Hamilton Twp",60,"Received Oth Dist",5.0,23.0,0.0
01,"Atlantic",1940,"Hamilton Twp",70,"State Facilities",1.0,,0.0
01,"Atlantic",1960,"Hammonton Town",11,"Onroll (Full)",3041.0,3029.0,3027.0
01,"Atlantic",1960,"Hammonton Town",21,"Onroll (SpEd Full)",463.0,465.0,459.0
01,"Atlantic",1960,"Hammonton Town",40,"Sent Private School",18.0,18.0,18.0
01,"Atlantic",1960,"Hammonton Town",51,"Sent Oth Dist Reg",3.0,4.0,3.0
01,"Atlantic",1960,"Hammonton Town",52,"Sent Oth Dist SpEd",27.0,30.0,30.0
01,"Atlantic",1960,"Hammonton Town",60,"Received Oth Dist",753.0,741.0,715.0
01,"Atlantic",1960,"Hammonton Town",70,"State Facilities",1.0,2.0,2.0
01,"Atlantic",2680,"Linwood City",11,"Onroll (Full)",703.0,683.0,687.0
01,"Atlantic",2680,"Linwood City",12,"Onroll (Shared)",38.0,34.0,34.0
01,"Atlantic",2680,"Linwood City",21,"Onroll (SpEd Full)",103.0,101.0,102.0
01,"Atlantic",2680,"Linwood City",40,"Sent Private School",3.0,2.0,0.0
01,"Atlantic",2680,"Linwood City",51,"Sent Oth Dist Reg",0.0,1.0,0.0
01,"Atlantic",2680,"Linwood City",52,"Sent Oth Dist SpEd",1.0,1.0,2.0
01,"Atlantic",2680,"Linwood City",60,"Received Oth Dist",33.5,19.0,0.0
01,"Atlantic",2780,"Longport",11,"Onroll (Full)",0.0,0.0,54.0
01,"Atlantic",2780,"Longport",21,"Onroll (SpEd Full)",0.0,0.0,4.0
01,"Atlantic",2780,"Longport",51,"Sent Oth Dist Reg",54.0,53.0,0.0
01,"Atlantic",2780,"Longport",52,"Sent Oth Dist SpEd",2.0,4.0,0.0
01,"Atlantic",2910,"Mainland Regional",11,"Onroll (Full)",1017.0,1017.0,1019.0
01,"Atlantic",2910,"Mainland Regional",21,"Onroll (SpEd Full)",223.0,240.0,250.0
01,"Atlantic",2910,"Mainland Regional",40,"Sent Private School",4.0,2.0,0.0
01,"Atlantic",2910,"Mainland Regional",51,"Sent Oth Dist Reg",0.0,1.0,0.0
01,"Atlantic",2910,"Mainland Regional",52,"Sent Oth Dist SpEd",7.0,8.0,6.0
01,"Atlantic",2910,"Mainland Regional",70,"State Facilities",,2.0,2.0
01,"Atlantic",3020,"Margate City",11,"Onroll (Full)",298.0,304.0,307.0
01,"Atlantic",3020,"Margate City",21,"Onroll (SpEd Full)",55.0,59.0,54.0
01,"Atlantic",3020,"Margate City",40,"Sent Private School",2.0,1.0,0.0
01,"Atlantic",3020,"Margate City",51,"Sent Oth Dist Reg",53.0,40.0,47.0
01,"Atlantic",3020,"Margate City",52,"Sent Oth Dist SpEd",14.0,7.0,12.0
01,"Atlantic",3020,"Margate City",60,"Received Oth Dist",36.0,36.0,32.0
01,"Atlantic",3480,"Mullica Twp",11,"Onroll (Full)",607.0,611.0,592.0
01,"Atlantic",3480,"Mullica Twp",21,"Onroll (SpEd Full)",88.0,91.0,109.0
01,"Atlantic",3480,"Mullica Twp",51,"Sent Oth Dist Reg",0.0,1.0,0.0
01,"Atlantic",3480,"Mullica Twp",52,"Sent Oth Dist SpEd",9.0,7.0,5.0
01,"Atlantic",3480,"Mullica Twp",60,"Received Oth Dist",52.0,47.0,43.0
01,"Atlantic",3720,"Northfield City",11,"Onroll (Full)",776.0,800.0,802.0
01,"Atlantic",3720,"Northfield City",21,"Onroll (SpEd Full)",140.0,145.0,147.0
01,"Atlantic",3720,"Northfield City",40,"Sent Private School",2.0,3.0,3.0
01,"Atlantic",3720,"Northfield City",50,"Sent Contract Presch",,42.0,0.0
01,"Atlantic",3720,"Northfield City",51,"Sent Oth Dist Reg",0.0,0.0,42.0
01,"Atlantic",3720,"Northfield City",52,"Sent Oth Dist SpEd",4.0,6.0,5.0
01,"Atlantic",3720,"Northfield City",60,"Received Oth Dist",7.0,9.0,9.0
01,"Atlantic",4180,"Pleasantville City",11,"Onroll (Full)",3308.0,3290.0,3513.0
01,"Atlantic",4180,"Pleasantville City",21,"Onroll (SpEd Full)",563.0,577.0,508.0
01,"Atlantic",4180,"Pleasantville City",40,"Sent Private School",16.0,15.0,46.0
01,"Atlantic",4180,"Pleasantville City",50,"Sent Contract Presch",189.0,202.0,0.0
01,"Atlantic",4180,"Pleasantville City",51,"Sent Oth Dist Reg",10.0,11.0,208.0
01,"Atlantic",4180,"Pleasantville City",52,"Sent Oth Dist SpEd",47.0,50.0,81.0
01,"Atlantic",4180,"Pleasantville City",60,"Received Oth Dist",32.0,26.0,0.0
01,"Atlantic",4180,"Pleasantville City",70,"State Facilities",18.0,10.0,10.0
01,"Atlantic",4240,"Port Republic City",11,"Onroll (Full)",92.0,97.0,101.0
01,"Atlantic",4240,"Port Republic City",21,"Onroll (SpEd Full)",9.0,10.0,6.0
01,"Atlantic",4240,"Port Republic City",51,"Sent Oth Dist Reg",45.0,32.0,27.0
01,"Atlantic",4240,"Port Republic City",52,"Sent Oth Dist SpEd",13.0,14.0,14.0
01,"Atlantic",4240,"Port Republic City",60,"Received Oth Dist",1.0,1.0,0.0
01,"Atlantic",4240,"Port Republic City",70,"State Facilities",1.0,,0.0
01,"Atlantic",4800,"Somers Point City",11,"Onroll (Full)",744.0,724.0,716.0
01,"Atlantic",4800,"Somers Point City",21,"Onroll (SpEd Full)",138.0,130.0,142.0
01,"Atlantic",4800,"Somers Point City",40,"Sent Private School",1.0,,0.0
01,"Atlantic",4800,"Somers Point City",50,"Sent Contract Presch",0.0,0.0,30.0
01,"Atlantic",4800,"Somers Point City",51,"Sent Oth Dist Reg",3.0,7.0,0.0
01,"Atlantic",4800,"Somers Point City",52,"Sent Oth Dist SpEd",11.0,7.0,5.0
01,"Atlantic",4800,"Somers Point City",60,"Received Oth Dist",5.0,7.0,0.0
01,"Atlantic",5350,"Ventnor City",11,"Onroll (Full)",595.0,565.0,592.0
01,"Atlantic",5350,"Ventnor City",21,"Onroll (SpEd Full)",84.0,81.0,72.0
01,"Atlantic",5350,"Ventnor City",40,"Sent Private School",2.0,3.0,0.0
01,"Atlantic",5350,"Ventnor City",50,"Sent Contract Presch",14.0,15.0,13.0
01,"Atlantic",5350,"Ventnor City",51,"Sent Oth Dist Reg",184.0,181.0,174.0
01,"Atlantic",5350,"Ventnor City",52,"Sent Oth Dist SpEd",47.0,46.0,49.0
01,"Atlantic",5350,"Ventnor City",60,"Received Oth Dist",,3.0,0.0
01,"Atlantic",5760,"Weymouth Twp",11,"Onroll (Full)",144.0,143.0,152.0
01,"Atlantic",5760,"Weymouth Twp",21,"Onroll (SpEd Full)",24.0,24.0,21.0
01,"Atlantic",5760,"Weymouth Twp",51,"Sent Oth Dist Reg",21.0,22.0,24.0
01,"Atlantic",5760,"Weymouth Twp",52,"Sent Oth Dist SpEd",12.0,11.0,11.0
01,"Atlantic",5760,"Weymouth Twp",60,"Received Oth Dist",2.0,1.0,2.0
03,"Bergen",0040,"Allendale Boro",11,"Onroll (Full)",821.0,799.0,801.0
03,"Bergen",0040,"Allendale Boro",21,"Onroll (SpEd Full)",53.0,58.0,48.0
03,"Bergen",0040,"Allendale Boro",40,"Sent Private School",5.0,5.0,0.0
03,"Bergen",0040,"Allendale Boro",51,"Sent Oth Dist Reg",0.0,0.0,7.0
03,"Bergen",0040,"Allendale Boro",52,"Sent Oth Dist SpEd",4.0,5.0,0.0
03,"Bergen",0040,"Allendale Boro",60,"Received Oth Dist",21.0,23.0,23.0
03,"Bergen",0080,"Alpine Boro",11,"Onroll (Full)",121.0,138.0,142.0
03,"Bergen",0080,"Alpine Boro",21,"Onroll (SpEd Full)",16.0,15.0,15.0
03,"Bergen",0080,"Alpine Boro",40,"Sent Private School",2.0,3.0,4.0
03,"Bergen",0080,"Alpine Boro",51,"Sent Oth Dist Reg",44.0,41.0,49.0
03,"Bergen",0080,"Alpine Boro",52,"Sent Oth Dist SpEd",10.0,9.0,7.0
03,"Bergen",0080,"Alpine Boro",60,"Received Oth Dist",,7.0,0.0
03,"Bergen",0285,"Bergen Co Special Service",21,"Onroll (SpEd Full)",585.0,586.0,574.0
03,"Bergen",0285,"Bergen Co Special Service",22,"Onroll (SpEd Shared)",19.0,15.0,16.0
03,"Bergen",0290,"Bergen County Vocational",11,"Onroll (Full)",1855.0,1876.0,1939.0
03,"Bergen",0290,"Bergen County Vocational",12,"Onroll (Shared)",171.0,192.0,112.0
